unit_id,dtime,fetch_time,bytes_total,bytes_sec
24734365,2021-01-25 09:50:42,3101859,4225287,1362178
24734365,2021-01-25 11:50:44,5986364,4225387,705835
24734365,2021-01-25 13:50:46,3268104,4224428,1292623
24734365,2021-01-25 15:50:42,2998573,4225387,1409132
24734365,2021-01-25 19:50:53,3102308,4225722,1362122
24734365,2021-01-25 21:50:46,3258444,4225051,1296646
24734365,2021-01-25 23:51:56,3243920,4223797,1302065
24734365,2021-01-26 01:50:41,3207152,4225310,1317464
24734365,2021-01-26 03:50:41,3170730,4226163,1332867
24734365,2021-01-26 05:50:42,3060287,4225753,1380835
24734365,2021-01-26 07:52:16,3109742,4226986,1359272
24734365,2021-01-26 09:51:12,3182049,4226811,1328329
24734365,2021-01-26 11:50:39,2976513,4228683,1420683
24734365,2021-01-26 13:50:42,3043216,4227723,1389228
24734365,2021-01-26 15:50:41,3060896,4228657,1381509
24734365,2021-01-26 17:50:46,3678733,4226427,1148881
24734365,2021-01-26 21:50:43,3384291,4228036,1249312
24734365,2021-01-26 23:51:56,3347113,4228553,1263343
24734365,2021-01-27 01:51:18,4202682,4226563,1005682
24734365,2021-01-27 03:50:47,3051630,4226604,1385031
24734365,2021-01-27 05:50:41,3217356,4226046,1313515
24734365,2021-01-27 07:51:57,3272688,4227758,1291830
24734365,2021-01-27 09:50:42,3092861,4227202,1366761
24734365,2021-01-27 11:50:42,2995400,4226052,1410847
24734365,2021-01-27 15:52:01,3248497,4225335,1300704
24734365,2021-01-27 17:50:41,3231671,4225392,1307494
24734365,2021-01-27 19:50:42,3235743,4225867,1305995
24734365,2021-01-27 21:50:41,2937655,4224979,1438214
24734365,2021-01-27 23:50:41,2975984,4224838,1419644
24734365,2021-01-28 01:50:41,3197449,4224674,1321263
24734365,2021-01-28 03:51:00,2954174,4225667,1430405
24734365,2021-01-28 05:50:42,3059701,4224226,1380600
24734365,2021-01-28 07:51:55,3099773,4224241,1362758
24734365,2021-01-28 09:50:42,2945872,4224555,1434059
24734365,2021-01-28 11:50:41,2909480,4223655,1451687
24734365,2021-01-28 13:50:46,3139606,4224450,1345535
24734365,2021-01-28 15:52:06,3217255,4228316,1314262
24734365,2021-01-28 17:50:41,3173291,4224250,1331188
24734365,2021-01-28 19:50:41,2950955,4223930,1431377
24734365,2021-01-28 23:50:41,3016849,4224139,1400182
24734365,2021-01-29 01:50:41,3108916,4223964,1358661
24734365,2021-01-29 03:50:42,3378204,4223769,1250300
24734365,2021-01-29 05:50:43,2987261,4224187,1414066
24734365,2021-01-29 07:51:56,3257645,4223101,1296366
24734365,2021-01-29 09:50:42,3122787,4224132,1352680
24734365,2021-01-29 11:50:41,3010601,4225146,1403422
24734365,2021-01-29 13:50:41,3102235,4226722,1362476
24734365,2021-01-29 15:50:42,3166957,4225645,1334291
24734365,2021-01-29 17:50:47,3385616,4229141,1249149
24734365,2021-01-29 19:50:41,3136230,4227407,1347926
